SPID,date,% Paper,% Plastic
7444,2020-08-12,"0,6","0,26666666666666666"
7444,2020-08-13,"1,0","0,0"
7444,2020-08-14,"0,4000000000000001","0,26666666666666666"
7444,2020-08-15,"1,0","0,5"
7444,2020-08-16,"0,6666666666666666","0,3333333333333333"
7444,2020-08-17,"0,8","0,3"
7444,2020-08-18,"1,1","0,0"
7444,2020-08-19,"0,6333333333333333","0,3333333333333333"
7444,2020-08-20,"1,1","0,0"
7444,2020-08-21,"0,6666666666666666","0,3333333333333333"
7444,2020-08-22,"0,7000000000000001","0,26666666666666666"
7444,2020-08-23,"0,75","0,2"
7444,2020-08-24,"0,6333333333333334","0,3333333333333333"
7444,2020-08-25,"1,0","0,0"
7444,2020-08-26,"0,5666666666666667","0,3333333333333333"
7444,2020-08-27,"1,0","0,0"
7444,2020-08-28,"0,6666666666666666","0,26666666666666666"
7444,2020-08-29,"1,0","0,5"
7444,2020-08-30,"1,0","0,5"
7444,2020-08-31,"0,5","0,3333333333333333"
7444,2020-09-01,"1,0","0,0"
7444,2020-09-02,"0,6666666666666666","0,26666666666666666"
7444,2020-09-03,"1,0","0,0"
7444,2020-09-04,"0,55","0,45"
7444,2020-09-05,"1,0","0,5"
7444,2020-09-06,"0,9","0,4"
7444,2020-09-07,"0,75","0,3"
7444,2020-09-08,"0,6","0,0"
7444,2020-09-09,"0,8","0,3"
7444,2020-09-10,"1,0","0,0"
7444,2020-09-11,"0,7","0,35"
7444,2020-09-12,"0,65","0,5"
7444,2020-09-13,"0,6666666666666666","0,3333333333333333"
7444,2020-09-14,"0,43333333333333335","0,3333333333333333"
7444,2020-09-15,"1,0","0,0"
7444,2020-09-16,"0,9","0,4"
7444,2020-09-17,"0,8","0,0"
7444,2020-09-18,"0,5","0,26666666666666666"
7444,2020-09-19,"0,7","0,5"
7444,2020-09-20,"0,6666666666666666","0,3333333333333333"
7444,2020-09-21,"0,5333333333333333","0,26666666666666666"
7444,2020-09-22,"0,8","0,0"
7444,2020-09-23,"0,3333333333333333","0,3333333333333333"
7444,2020-09-24,"0,8","0,0"
7444,2020-09-25,"0,5333333333333333","0,26666666666666666"
